kanname,etr_mean
ZG,0.12434274105198986
SZ,0.12447618206908477
AI,0.12663755406486635
NW,0.12730937132780998
OW,0.1274667735026809
UR,0.12838847790237307
AR,0.13360869488171884
TG,0.1349911287347428
NE,0.13569576367454417
LU,0.13632352265609377
BS,0.13712374502867336
VD,0.1379349802790332
GE,0.13976090811281341
FR,0.14084848670463285
SH,0.14093625256075065
GL,0.1418045339990909
SG,0.14497759556511125
AG,0.15106752741880464
SO,0.16222693635952265
VS,0.17347610493744542
GR,0.17732786877231815
JU,0.17874597756404997
BL,0.18078263333029718
TI,0.18639704160424964
BE,0.20514339921846464
ZH,0.2175113155457998
